,gene,pvalue,effet
962,ECH3937_v6b_ABF-0016070,2.50377496513465e-12,Activation
1814,ECH3937_v6b_ABF-0017361,2.52353693497298e-12,Activation
2059,ECH3937_v6b_ABF-0017737,2.53752574508326e-12,Activation
1314,ECH3937_v6b_ABF-0016631,2.54973819835413e-12,Activation
4100,ECH3937_v6b_ABF-0020757,2.58371102290766e-12,Activation
1729,ECH3937_v6b_ABF-0017244,2.62145860574492e-12,Activation
838,ECH3937_v6b_ABF-0015899,2.6283419884976e-12,Activation
2667,ECH3937_v6b_ABF-0018614,2.65520938569352e-12,Activation
3369,ECH3937_v6b_ABF-0019673,2.66409116989053e-12,Activation
2778,ECH3937_v6b_ABF-0018775,2.70095057430808e-12,Activation
4247,ECH3937_v6b_ABF-0046643,2.75468536869994e-12,Activation
1268,ECH3937_v6b_ABF-0016554,2.8199664825479e-12,Activation
4148,ECH3937_v6b_ABF-0020816,2.82063261636267e-12,Activation
776,ECH3937_v6b_ABF-0015821,2.82729395451042e-12,Activation
2552,ECH3937_v6b_ABF-0018451,2.8395064077813e-12,Activation
4424,ECH3937_v6b_ABF-0047012,2.85149681644725e-12,Activation
1329,ECH3937_v6b_ABF-0016649,2.8599345114344e-12,Activation
3908,ECH3937_v6b_ABF-0020482,2.88502555179093e-12,Repression
86,ECH3937_v6b_ABF-0014654,2.92788016054146e-12,Activation
2976,ECH3937_v6b_ABF-0019085,2.94986257642904e-12,Activation
2683,ECH3937_v6b_ABF-0018641,2.96096480667529e-12,Activation
2145,ECH3937_v6b_ABF-0017854,3.06266123573096e-12,Activation
99,ECH3937_v6b_ABF-0014690,3.06599190480483e-12,Activation
2642,ECH3937_v6b_ABF-0018572,3.07798231347078e-12,Activation
1668,ECH3937_v6b_ABF-0017158,3.09041681134659e-12,Activation
1035,ECH3937_v6b_ABF-0016190,3.15214521151574e-12,Activation
3098,ECH3937_v6b_ABF-0019270,3.16635606623095e-12,Activation
