,gene,pvalue,effet
400,ECH3937_v6b_ABF-0015165,2.77978973173276e-10,Repression
2016,ECH3937_v6b_ABF-0017668,2.83699730374565e-10,Activation
1391,ECH3937_v6b_ABF-0016738,2.83751688812117e-10,Repression
1283,ECH3937_v6b_ABF-0016575,2.88504775625142e-10,Repression
4156,ECH3937_v6b_ABF-0020828,2.9039370907924e-10,Activation
2396,ECH3937_v6b_ABF-0018218,3.10761638644408e-10,Repression
4022,ECH3937_v6b_ABF-0020638,3.15897530356324e-10,Repression
1767,ECH3937_v6b_ABF-0017296,3.21450421836289e-10,Repression
3271,ECH3937_v6b_ABF-0019519,3.29209104421579e-10,Repression
4087,ECH3937_v6b_ABF-0020737,3.3237590457702e-10,Repression
3997,ECH3937_v6b_ABF-0020596,3.32738281372258e-10,Repression
3681,ECH3937_v6b_ABF-0020149,3.36684014001776e-10,Repression
929,ECH3937_v6b_ABF-0016025,3.44040795852152e-10,Repression
869,ECH3937_v6b_ABF-0015936,3.45899531239979e-10,Repression
3397,ECH3937_v6b_ABF-0019721,3.49641426922176e-10,Repression
1107,ECH3937_v6b_ABF-0016293,3.57887053326067e-10,Repression
1119,ECH3937_v6b_ABF-0016318,3.58979290737693e-10,Repression
3089,ECH3937_v6b_ABF-0019259,3.66528807305144e-10,Repression
2967,ECH3937_v6b_ABF-0019072,3.77754938440944e-10,Repression
2409,ECH3937_v6b_ABF-0018236,3.77983866428622e-10,Repression
296,ECH3937_v6b_ABF-0015010,3.79710707321124e-10,Repression
4242,ECH3937_v6b_ABF-0046585,3.80070197536497e-10,Repression
850,ECH3937_v6b_ABF-0015912,3.80258491361474e-10,Activation
1413,ECH3937_v6b_ABF-0016772,3.81386255909888e-10,Repression
1978,ECH3937_v6b_ABF-0017610,3.85147025383503e-10,Repression
2590,ECH3937_v6b_ABF-0018502,3.92962107298445e-10,Repression
1265,ECH3937_v6b_ABF-0016549,4.01695343654751e-10,Repression
3541,ECH3937_v6b_ABF-0019949,4.04893452099486e-10,Repression
2813,ECH3937_v6b_ABF-0018829,4.12954115347475e-10,Repression
4543,ECH3937_v6b_ABF-0174082,4.22050616677438e-10,Repression
3014,ECH3937_v6b_ABF-0019145,4.2412007239534e-10,Repression
816,ECH3937_v6b_ABF-0015869,4.28111768258077e-10,Repression
3973,ECH3937_v6b_ABF-0020568,4.35017799560455e-10,Repression
2525,ECH3937_v6b_ABF-0018415,4.36888747401554e-10,Repression
2379,ECH3937_v6b_ABF-0018192,4.4141512667295e-10,Repression
1378,ECH3937_v6b_ABF-0016717,4.44486225603669e-10,Repression
3907,ECH3937_v6b_ABF-0020481,4.55611992578042e-10,Repression
2047,ECH3937_v6b_ABF-0017720,4.64498661756352e-10,Repression
3548,ECH3937_v6b_ABF-0019960,4.73233452424893e-10,Repression
3723,ECH3937_v6b_ABF-0020210,4.87597295872888e-10,Repression
398,ECH3937_v6b_ABF-0015163,5.14777998006366e-10,Repression
67,ECH3937_v6b_ABF-0014607,5.28398214072467e-10,Repression
1278,ECH3937_v6b_ABF-0016567,5.5119642183854e-10,Repression
215,ECH3937_v6b_ABF-0014893,5.54821744103151e-10,Repression
3184,ECH3937_v6b_ABF-0019395,5.60433921492631e-10,Repression
2158,ECH3937_v6b_ABF-0017870,5.64988278384249e-10,Repression
2381,ECH3937_v6b_ABF-0018195,5.72381919639042e-10,Repression
4009,ECH3937_v6b_ABF-0020611,5.74138958597814e-10,Repression
3600,ECH3937_v6b_ABF-0020030,5.76987790879002e-10,Repression
4409,ECH3937_v6b_ABF-0046989,5.85252735163522e-10,Repression
4023,ECH3937_v6b_ABF-0020639,5.97895066789533e-10,Repression
297,ECH3937_v6b_ABF-0015011,6.11279915574414e-10,Repression
2209,ECH3937_v6b_ABF-0017949,6.20429485564955e-10,Repression
2327,ECH3937_v6b_ABF-0018109,6.24299278939588e-10,Repression
3012,ECH3937_v6b_ABF-0019143,6.36898978001454e-10,Repression
2916,ECH3937_v6b_ABF-0018990,6.54026832691557e-10,Repression
690,ECH3937_v6b_ABF-0015686,6.65341559624721e-10,Activation
2087,ECH3937_v6b_ABF-0017776,6.72093047882072e-10,Repression
2194,ECH3937_v6b_ABF-0017931,6.72478961405432e-10,Repression
532,ECH3937_v6b_ABF-0015467,6.78877842830161e-10,Repression
1582,ECH3937_v6b_ABF-0017024,6.95932200756033e-10,Activation
1765,ECH3937_v6b_ABF-0017293,7.16722681204374e-10,Activation
2244,ECH3937_v6b_ABF-0017994,7.42377936902017e-10,Repression
3931,ECH3937_v6b_ABF-0020514,7.43800132596562e-10,Activation
4476,ECH3937_v6b_ABF-0047107,7.63475505038969e-10,Repression
